Player,Nation,Pos,Min,xG,xAG,PrgC,PrgP,GA_90
Rodri,es ESP,MF,2931,4.1,3.9,76,376,0.52
Phil Foden,eng ENG,"FW,MF",2857,10.3,8.4,93,168,0.85
Ederson,br BRA,GK,2785,0,0.1,0,4,0
Julián Álvarez,ar ARG,"MF,FW",2647,13,6.4,64,103,0.65
Kyle Walker,eng ENG,DF,2767,0.4,2.6,74,157,0.13
Bernardo Silva,pt POR,"MF,FW",2578,3.7,7.6,140,177,0.52
Erling Haaland,no NOR,FW,2552,29.2,4.3,35,26,1.13
Rúben Dias,pt POR,DF,2559,1.4,0.3,34,173,0
Manuel Akanji,ch SUI,"DF,MF",2511,1.9,0.5,46,148,0.07
Joško Gvardiol,hr CRO,DF,2328,3.1,1.4,63,136,0.19
Nathan Aké,nl NED,DF,2042,2.5,1.2,24,116,0.18
Jeremy Doku,be BEL,"FW,MF",1595,2.5,4.6,218,57,0.62
Mateo Kovačić,hr CRO,MF,1551,1.3,1.6,37,100,0.06
Kevin De Bruyne,be BEL,MF,1221,2.4,11.5,47,111,1.03
John Stones,eng ENG,"DF,MF",1064,1,0.2,16,57,0.08
Jack Grealish,eng ENG,"FW,MF",1009,2.1,2.5,87,50,0.36
Rico Lewis,eng ENG,"DF,MF",809,0.6,1.1,21,33,0.22
Matheus Nunes,pt POR,MF,661,0.8,1.1,28,34,0.27
Stefan Ortega,de GER,GK,635,0,0,0,0,0
Oscar Bobb,no NOR,"FW,MF",302,1.4,1.2,13,25,0.6
Kalvin Phillips,eng ENG,MF,93,0.1,0,7,7,0
Sergio Gómez,es ESP,"FW,MF",53,0.2,0.2,4,2,1.7
Aymeric Laporte,es ESP,DF,12,0,0,0,0,0
Cole Palmer,eng ENG,MF,11,0,0,0,0,0
James Mcatee,eng ENG,MF,1,0,0,0,0,0
Virgil van Dijk,nl NED,DF,3177,2.8,1.6,32,200,0.11
Luis Díaz,co COL,FW,2629,11.9,5.7,137,113,0.45
Alexis Mac Allister,ar ARG,MF,2599,3.7,3.6,44,209,0.35
Mohamed Salah,eg EGY,FW,2534,21.2,11.8,98,147,0.99
Alisson,br BRA,GK,2520,0,0,0,5,0
Trent Alexander-Arnold,eng ENG,DF,2155,2.6,7.2,45,205,0.29
Dominik Szoboszlai,hu HUN,MF,2104,3.7,5.8,75,152,0.21
Darwin Núñez,uy URU,FW,2047,16.3,6,58,54,0.84
Wataru Endo,jp JPN,MF,1722,0.5,1.7,10,101,0.05
Andrew Robertson,sct SCO,DF,1693,1.9,5.4,63,140,0.27
Joe Gomez,eng ENG,DF,1786,0.8,1.3,44,100,0.05
Cody Gakpo,nl NED,"FW,MF",1649,9,2.9,43,83,0.71
Ibrahima Konaté,fr FRA,DF,1574,0.7,0.4,24,118,0
Curtis Jones,eng ENG,MF,1167,2.6,0.7,31,74,0.15
Diogo Jota,pt POR,FW,1145,5.3,3.3,54,34,1.02
Jarell Quansah,eng ENG,DF,1190,1,0.1,13,67,0.15
Ryan Gravenberch,nl NED,MF,1121,2,0.9,39,78,0.08
Harvey Elliott,eng ENG,"MF,FW",1352,2.7,3.5,44,128,0.6
Caoimhín Kelleher,ie IRL,GK,900,0,0,0,1,0
Conor Bradley,nir NIR,DF,753,0.9,1.5,35,29,0.48
Joël Matip,cm CMR,DF,781,0.5,0.1,8,34,0
Kostas Tsimikas,gr GRE,DF,679,0.1,1,24,31,0.4
Bobby Clark,eng ENG,MF,89,0.1,0,3,3,0
Stefan Bajcetic,es ESP,MF,26,0,0,0,1,0
